AnoMes,Municipio_Ibge,Municipio,Estado_Ibge,Estado,Sigla_Regiao,Regiao,VL_PagadorPF,QT_PagadorPF,VL_PagadorPJ,QT_PagadorPJ,VL_RecebedorPF,QT_RecebedorPF,VL_RecebedorPJ,QT_RecebedorPJ,QT_PES_PagadorPF,QT_PES_PagadorPJ,QT_PES_RecebedorPF,QT_PES_RecebedorPJ
202510,4123402,SANTA FÉ,41,PARANÁ,SU,SUL,45759976.81,190062,38396606.83,27661,48400347.09,108233,28893222.81,73436,6816,857,6728,818
202507,5103858,GAÚCHA DO NORTE,51,MATO GROSSO,CO,CENTRO-OESTE,54246305.68,133409,61923883.05,15940,53720651.64,64377,50101381.33,50415,4614,520,4417,501
202511,3550506,SÃO PEDRO DO TURVO,35,SÃO PAULO,SE,SUDESTE,27649422.48,149182,13309292.94,9319,25614752.58,76788,11839505.13,25186,4278,267,4121,248
202506,2209302,SANTA LUZ,22,PIAUÍ,NE,NORDESTE,14393320.76,120246,2055999.56,2787,13106360.61,72763,3034972.39,13089,3194,84,3102,79
202601,1500701,ANAJÁS,15,PARÁ,NO,NORTE,62972801.49,493207,17672937.95,12252,56254290.76,298198,16714644.24,36996,13299,273,12547,270
202508,3164902,SÃO SEBASTIÃO DO RIO VERDE,31,MINAS GERAIS,SE,SUDESTE,6718900.95,28858,1685671.6,1822,6908607.34,16170,1977438.86,6103,1164,93,1124,92
202512,4316105,RONDA ALTA,43,RIO GRANDE DO SUL,SU,SUL,33752578.69,145535,29868709.85,13555,32405703.89,70604,36750177.72,36305,5021,604,4820,591
202603,3121258,DELTA,31,MINAS GERAIS,SE,SUDESTE,25095541.63,157937,16292134.2,10532,22975075.27,84712,23351899.06,28802,6193,363,6098,350
202502,3517802,GUARAÇAÍ,35,SÃO PAULO,SE,SUDESTE,26394506.27,110384,7364835.28,7029,28551916.69,65086,8544655.13,22224,4329,268,4156,253
202602,3136579,JOSENÓPOLIS,31,MINAS GERAIS,SE,SUDESTE,11569788.22,77400,1643297.47,1323,11142064.87,45953,1084080.93,7844,2155,60,2140,58
202507,5213772,MONTIVIDIU DO NORTE,52,GOIÁS,CO,CENTRO-OESTE,15064749.08,64381,5728167.56,2952,15415514.51,36173,4020258.22,11641,2142,103,2114,100
202511,4304671,CAPIVARI DO SUL,43,RIO GRANDE DO SUL,SU,SUL,24574971.83,92269,16316322.9,9236,20811509.91,44992,19719501.46,25152,2815,344,2700,323
202503,2606804,IGARASSU,26,PERNAMBUCO,NE,NORDESTE,356745876.89,3058379,243883790.68,135417,340580923.34,2066679,234756332.63,433236,68801,3024,68287,2817
202511,1504000,LIMOEIRO DO AJURU,15,PARÁ,NO,NORTE,104542594.02,588393,13392989.3,11344,97854956.93,395827,11006106.09,23576,14751,172,13869,160
202501,3147956,PATIS,31,MINAS GERAIS,SE,SUDESTE,10353443.75,79971,991755.6,1122,9806297.59,46329,1129620.47,4083,2507,63,2445,54
202505,4312450,MORRO REDONDO,43,RIO GRANDE DO SUL,SU,SUL,11668625.89,63902,7971840.64,5022,12212299.26,33293,7188593.47,12740,2944,248,2794,249
202501,3540101,PONGAÍ,35,SÃO PAULO,SE,SUDESTE,11540910.53,47475,17500396.99,3394,19722044.7,28348,10381940.15,9866,1943,138,1842,138
202504,3130705,INDIANÓPOLIS,31,MINAS GERAIS,SE,SUDESTE,24662656.34,95795,7937588.4,5261,24676446.14,50923,6910965.92,18114,3319,197,3217,192
