AnoMes,Municipio_Ibge,Municipio,Estado_Ibge,Estado,Sigla_Regiao,Regiao,VL_PagadorPF,QT_PagadorPF,VL_PagadorPJ,QT_PagadorPJ,VL_RecebedorPF,QT_RecebedorPF,VL_RecebedorPJ,QT_RecebedorPJ,QT_PES_PagadorPF,QT_PES_PagadorPJ,QT_PES_RecebedorPF,QT_PES_RecebedorPJ
202508,3516507.0,GABRIEL MONTEIRO,35.0,SÃO PAULO,SE,SUDESTE,25844971.44,50830,33905576.48,3951,27485154.65,30140,16429024.93,8824,1583,131,1517,118
202509,4126256.0,SARANDI,41.0,PARANÁ,SU,SUL,455640335.52,2577298,11987699971.62,674297,487399095.04,1416540,8942028521.72,1277626,72285,7150,72656,6791
202504,4304101.0,CAMPOS BORGES,43.0,RIO GRANDE DO SUL,SU,SUL,7733964.63,37433,4034419.67,3387,7696396.26,16619,6075943.92,10061,1824,193,1543,181
202510,3142908.0,MONTE AZUL,31.0,MINAS GERAIS,SE,SUDESTE,60094531.44,311116,21315485.15,17497,58999889.63,214633,18338100.96,62889,10132,619,9826,571
202510,4312351.0,MONTAURI,43.0,RIO GRANDE DO SUL,SU,SUL,5173610.84,11234,26414011.39,2734,3222921.66,3888,19612731.31,2340,688,94,513,89
202509,3543501.0,RIVERSUL,35.0,SÃO PAULO,SE,SUDESTE,14171889.27,92996,6110815.58,5737,14802221.95,48173,6033235.06,13711,3078,200,2936,202
202501,2510303.0,NOVA PALMEIRA,25.0,PARAÍBA,NE,NORDESTE,10992484.47,77975,2437853.66,4970,9892912.1,48436,2144665.54,14784,2294,145,2208,124
202511,3505708.0,BARUERI,35.0,SÃO PAULO,SE,SUDESTE,2510511076.86,10185962,58325520769.51,38877301,2638186151.36,5458627,48003101336.57,139974288,265227,38888,260672,36279
202511,4112306.0,JAPIRA,41.0,PARANÁ,SU,SUL,12682988.9,73463,4615163.92,5702,13904865.19,38767,4015246.75,10501,2558,179,2464,170
202501,5215009.0,NOVA VENEZA,52.0,GOIÁS,CO,CENTRO-OESTE,35790492.27,160903,28376325.5,20463,37248799.61,97610,21599352.89,50874,5346,612,5325,570
202509,3542602.0,REGISTRO,35.0,SÃO PAULO,SE,SUDESTE,242599718.34,1571715,179868983.44,115055,248627096.04,874945,164743737.3,305036,41879,3236,41434,3124
202501,4322525.0,VALE VERDE,43.0,RIO GRANDE DO SUL,SU,SUL,7546008.89,32733,1272353.13,1614,6061324.15,16028,1614564.72,5084,1398,111,1298,107
202502,2406502.0,LAGOA NOVA,24.0,RIO GRANDE DO NORTE,NE,NORDESTE,39729083.35,258595,36895367.85,12761,36486288.46,151305,31871623.71,40513,8489,395,8196,396
202510,2408201.0,NÍSIA FLORESTA,24.0,RIO GRANDE DO NORTE,NE,NORDESTE,77430213.58,659802,26792044.81,30216,75507347.47,449241,19551287.52,69360,15744,683,15309,619
202601,4301875.0,BARRA DO QUARAÍ,43.0,RIO GRANDE DO SUL,SU,SUL,8989994.09,72698,9671218.64,5270,8543317.33,36005,5995224.25,18186,2194,188,2151,185
202511,3522406.0,ITAPEVA,35.0,SÃO PAULO,SE,SUDESTE,393333093.81,2374384,295488934.38,191619,408747148.77,1266583,290049677.88,473317,64032,5195,62972,4935
202502,5007554.0,SANTA RITA DO PARDO,50.0,MATO GROSSO DO SUL,CO,CENTRO-OESTE,18660341.09,97110,71457388.2,8416,19073995.3,49747,47825049.15,23625,3754,252,3662,234
202504,5200308.0,ALEXÂNIA,52.0,GOIÁS,CO,CENTRO-OESTE,119608465.5,650965,61738466.51,69120,124538732.24,399485,74316116.2,205747,17639,1396,17538,1325
202603,2201988.0,BREJO DO PIAUÍ,22.0,PIAUÍ,NE,NORDESTE,4324692.4,33572,656125.33,1826,3870790.9,19474,857909.62,5495,1709,45,1645,42
202507,2607703.0,ITAPETIM,26.0,PERNAMBUCO,NE,NORDESTE,35328687.81,251127,7123586.1,9516,34447605.68,161542,6264516.28,34339,7186,317,7081,262
202501,2704906.0,MAR VERMELHO,27.0,ALAGOAS,NE,NORDESTE,9241878.15,52165,806255.74,1514,9160534.12,37689,601506.92,4079,1884,49,1851,41
202501,4206751.0,IBIAM,42.0,SANTA CATARINA,SU,SUL,5826122.22,18523,5013117.12,2112,6166035.35,8791,3900033.62,3919,951,91,911,84
202502,3527108.0,LINS,35.0,SÃO PAULO,SE,SUDESTE,297420409.44,1651795,258145799.77,140924,291490262.06,913769,281557233.45,437793,51223,4187,49822,3942
202501,2106409.0,MATA ROMA,21.0,MARANHÃO,NE,NORDESTE,34039184.29,265469,8267837.04,5782,28509446.3,165143,12329463.22,27097,7946,173,7585,161
202601,3125200.0,FAMA,31.0,MINAS GERAIS,SE,SUDESTE,6556917.73,32325,2490893.54,3286,8410790.57,18340,2234947.91,7715,1137,117,1117,111
202511,2406155.0,JUNDIÁ,24.0,RIO GRANDE DO NORTE,NE,NORDESTE,8857224.24,67919,430200.27,493,8435293.8,41303,151938.19,558,2119,42,2006,35
202506,2704500.0,MARAGOGI,27.0,ALAGOAS,NE,NORDESTE,109876320.41,815839,62174470.6,54543,108234301.6,573424,57620243.7,149356,18664,1206,18590,1110
202603,3167004.0,SERRANOS,31.0,MINAS GERAIS,SE,SUDESTE,4120595.27,15522,1953356.57,752,4984360.06,7845,1487020.62,1615,1021,65,947,66
202510,3124401.0,ESPÍRITO SANTO DO DOURADO,31.0,MINAS GERAIS,SE,SUDESTE,35941115.2,75351,13288139.09,5302,22821222.17,41473,13871165.4,22854,2692,160,2598,155
202602,2113009.0,VITORINO FREIRE,21.0,MARANHÃO,NE,NORDESTE,104359286.53,677319,32272025.72,31866,102358352.19,407588,30629287.85,139512,17738,507,17114,484
202502,2933455.0,WANDERLEY,29.0,BAHIA,NE,NORDESTE,33307147.88,196463,4912397.64,6626,31232088.74,117983,7346570.38,19728,6523,199,6168,185
202601,5107297.0,SÃO JOSÉ DO POVO,51.0,MATO GROSSO,CO,CENTRO-OESTE,11064463.22,33074,2138827.91,1270,9204642.67,17503,1839845.28,3283,1295,60,1220,54
202509,4103404.0,CAFEARA,41.0,PARANÁ,SU,SUL,9188694.87,48127,1740769.21,2089,9028403.41,22761,1456671.7,6916,1633,81,1531,84
202507,2305605.0,INDEPENDÊNCIA,23.0,CEARÁ,NE,NORDESTE,78313621.98,502197,12253554.66,13088,72695408.76,338958,12961080.62,67784,13388,365,12953,341
